"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Desktop\retro-portfolio\AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"d:\Desktop\retro-portfolio\CLAUDE.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Desktop\retro-portfolio\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"d:\Desktop\retro-portfolio\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 269, 27, 69, 365
"d:\Desktop\retro-portfolio\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 9, 54
"d:\Desktop\retro-portfolio\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 164, 0, 11, 32, 207
"d:\Desktop\retro-portfolio\components\AboutWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 385, 0, 16, 32, 433
"d:\Desktop\retro-portfolio\components\ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 289, 0, 15, 36, 340
"d:\Desktop\retro-portfolio\components\Desktopsection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 9, 11, 155
"d:\Desktop\retro-portfolio\components\EnhancedBootSequence.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 6, 16, 201
"d:\Desktop\retro-portfolio\components\EnhancedCursor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 2, 7, 54
"d:\Desktop\retro-portfolio\components\EnhancedHeroSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 200, 0, 14, 22, 236
"d:\Desktop\retro-portfolio\components\Magnetic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\Desktop\retro-portfolio\components\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 3, 6, 63
"d:\Desktop\retro-portfolio\components\PopupWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 5, 8, 91
"d:\Desktop\retro-portfolio\components\ProjectsWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 380, 0, 18, 37, 435
"d:\Desktop\retro-portfolio\components\ResumeWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 261, 0, 20, 32, 313
"d:\Desktop\retro-portfolio\components\RetroTaskbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 216, 0, 13, 21, 250
"d:\Desktop\retro-portfolio\components\RetroWindow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 5, 6, 106
"d:\Desktop\retro-portfolio\components\Reveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"d:\Desktop\retro-portfolio\components\ScrollScrub.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 7, 12, 75
"d:\Desktop\retro-portfolio\components\Sound.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 3, 7, 50
"d:\Desktop\retro-portfolio\components\TypeWriter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 1, 22, 96
"d:\Desktop\retro-portfolio\components\WelcomeModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 7, 14, 106
"d:\Desktop\retro-portfolio\components\WindowManagerContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 11, 59
"d:\Desktop\retro-portfolio\components\useScrollSkew.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 6, 6, 34
"d:\Desktop\retro-portfolio\eslint.config.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\Desktop\retro-portfolio\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"d:\Desktop\retro-portfolio\package-lock.json", "JSON", 0, 0, 6890, 0, 0, 0, 0, 0, 0, 1, 6891
"d:\Desktop\retro-portfolio\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Desktop\retro-portfolio\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Desktop\retro-portfolio\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\retro-portfolio\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\retro-portfolio\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\retro-portfolio\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\retro-portfolio\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\retro-portfolio\tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 20, 26, 6919, 34, 5, 44, 2880, 269, 193, 451, 10841
